danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,popularity,explicit,id,name,release_date,artists,available_markets,tempo,loudness,duration_min
0.159,0.946,9,1,0.0629,0.0235,8.06e-06,0.387,0.309,0.66,0,4A065x9kJt955eGVqf813g,Them Bones,1992-01-01,['Alice In Chains'],1.0,6,4,2
0.527,0.838,3,1,0.0323,0.0206,0.000662,0.07,0.721,0.64,0,4PtZE0h5oyPhCtPjg3NeYQ,No Excuses,1994,['Alice In Chains'],1.0,3,4,4
0.359,0.794,6,1,0.0338,0.0133,0.000132,0.111,0.423,0.62,0,7FRfYOql61DGDp9VPPe2qA,Down In A Hole,1992-01-01,['Alice In Chains'],1.0,2,4,6
0.552,0.725,10,0,0.0319,0.00451,0.00015800000000000002,0.116,0.5579999999999999,0.61,1,1DCdIWCE5UFiObCsTSpKFv,Heaven Beside You,1995-10-30,['Alice In Chains'],1.0,3,3,5
0.224,0.782,6,1,0.04,0.0446,0.00355,0.0822,0.267,0.59,0,6HnZsLUDrG3HTSbh8sq2u3,I Stay Away,1994,['Alice In Chains'],1.0,1,3,4
0.44,0.8440000000000001,10,1,0.0461,3.28e-06,0.0514,0.723,0.304,0.58,0,2O2ii9OPZYh1NBXo9FtE0Y,Check My Brain,2009-01-01,['Alice In Chains'],1.0,3,6,4
0.486,0.25,9,0,0.0314,0.836,1.85e-06,0.313,0.0729,0.36,0,31N3wtFbnx9PB1BeRN5JX6,Yalan,2006,['Athena'],0.9873417721518988,2,1,5
0.858,0.501,2,0,0.0646,0.20600000000000002,1.4599999999999999e-05,0.045,0.9159999999999999,0.59,0,7BGAsqmzVtq0Ms8o0MegsQ,"Senden, Benden, Bizden",1998-04-15,['Athena'],1.0,3,4,2
0.376,0.493,9,1,0.0496,0.0122,0.0,0.133,0.35600000000000004,0.37,0,7aBKX9bD1PYtDsc8xdrcAA,Ben Böyleyim,2018-05-29,['Athena'],0.9873417721518988,1,2,3
0.638,0.7390000000000001,4,0,0.0343,0.0189,5.820000000000001e-05,0.0674,0.9109999999999999,0.33,0,5b3SzOsJdsDLYYAcWFS0Ti,Arsız Gönül,2010,['Athena'],0.9873417721518988,6,3,4
0.474,0.9109999999999999,9,1,0.0515,0.0728,6.63e-05,0.21,0.907,0.3,0,3XOpY6WO7bMv87tf1DooG2,Kafama Göre,2014-10-11,['Athena'],0.9873417721518988,4,6,3
